"","inc","eco1","eco2","pe_h","pe_e","pe_u","pe_d","pe_o","pe_b","pe_p","pe_w","dem","close","like","gender","age","educ","religiosity"
"185",1,5,2,2,2,1,2,1,5,3,1,2,1,7,1,1997,4,5
"186",0,3,4,1,2,2,1,1,5,2,1,4,3,1,2,1982,2,1
"189",0,5,2,1,1,1,1,1,5,1,1,5,2,0,2,1951,3,2
"190",0,5,4,5,1,1,3,5,3,3,5,5,4,0,1,1980,4,5
"191",0,3,1,4,3,3,3,2,4,3,2,4,1,8,1,1995,7,5
"193",0,3,2,3,2,3,3,2,3,3,3,2,3,7,2,1996,7,3
"196",1,1,2,2,2,3,2,2,3,2,2,2,1,8,1,1966,2,6
"201",0,3,4,1,1,3,3,1,1,3,3,5,3,0,1,1963,2,1
"202",0,3,2,1,1,1,1,1,1,1,1,5,4,0,1,1986,4,5
"204",0,3,4,1,1,1,1,1,1,1,1,5,4,0,1,1993,4,5
"211",0,5,5,5,5,5,5,5,5,5,5,4,1,10,2,1994,3,3
"213",1,5,5,3,3,1,1,1,3,5,3,4,1,10,2,1981,2,4
"214",0,5,5,1,1,1,2,1,1,1,1,5,2,1,1,1995,4,5
"215",0,3,4,1,1,1,1,1,4,1,1,4,1,10,1,1996,3,5
"216",0,5,5,1,1,1,1,1,1,4,1,5,4,0,1,1965,7,1
"218",1,5,2,1,1,1,2,1,2,1,1,4,1,8,2,1994,7,3
"221",1,5,4,1,1,3,3,1,4,3,4,4,1,10,1,1949,2,6
"223",1,3,4,2,2,1,3,2,3,3,3,4,1,5,2,1976,2,6
"225",0,5,4,1,1,1,1,1,2,2,2,5,2,0,1,1932,2,1
"227",0,3,4,1,1,1,1,1,3,3,3,5,2,0,2,1937,2,6
"230",0,5,4,2,2,3,2,1,3,1,1,5,2,0,1,1936,2,6
"233",1,5,2,2,2,3,2,1,2,3,3,4,1,9,2,1984,2,3
"234",0,5,5,2,1,2,5,1,1,1,2,5,3,1,1,1994,4,5
"235",0,5,5,2,2,2,3,1,3,3,3,5,3,2,2,1964,3,6
"236",0,5,5,1,1,1,3,1,3,1,3,5,3,5,2,1974,2,3
"237",1,3,2,2,1,3,3,2,4,3,3,2,1,9,2,1965,4,3
"239",0,5,5,1,1,1,1,1,5,3,1,5,5,0,1,1966,3,6
"240",0,3,1,3,1,3,5,1,3,2,2,5,2,4,1,1993,4,4
"241",1,3,2,2,3,1,3,1,5,3,1,2,1,9,2,1971,2,6
"242",1,3,2,1,1,1,2,1,4,4,1,2,1,9,2,1992,4,4
"246",0,5,2,1,1,1,1,1,5,3,1,5,2,2,2,1973,3,2
"248",1,3,2,2,3,2,4,1,5,3,1,2,1,9,2,1962,3,6
"251",1,3,2,2,2,1,3,1,4,2,1,1,1,8,2,1973,2,6
"253",1,5,2,1,2,1,2,1,1,2,1,5,1,10,2,1983,2,6
"254",0,3,2,1,1,1,2,1,5,5,1,4,3,1,1,1994,4,3
"256",0,3,4,1,1,1,3,2,3,2,1,5,4,1,1,1962,4,6
"257",0,5,1,1,1,1,1,1,1,1,1,5,4,1,2,1994,3,6
"258",0,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1970,2,6
"259",1,5,4,3,3,3,2,2,3,2,4,2,1,8,2,1980,2,5
"262",0,5,2,1,1,1,1,1,1,1,1,5,4,5,1,1981,8,6
"264",0,1,2,2,3,3,2,3,3,2,3,1,1,8,1,1991,3,5
"265",1,1,2,2,3,3,2,2,3,2,3,1,1,8,1,1995,4,5
"267",1,1,2,3,3,3,3,2,3,3,3,5,1,10,1,1978,2,3
"269",0,5,5,1,2,3,3,1,5,5,3,5,2,0,1,1960,2,5
"271",1,1,4,3,2,3,3,1,3,3,3,2,1,10,2,1984,2,6
"272",1,5,2,1,1,4,1,1,2,4,4,4,1,8,1,1990,7,5
"275",1,3,2,3,2,3,3,1,3,3,3,5,1,10,1,1948,4,6
"276",1,1,2,1,1,2,2,1,2,3,3,2,1,5,2,1977,3,6
"277",1,1,2,2,2,2,2,1,2,2,3,2,1,10,2,1967,2,6
"281",0,5,2,1,1,1,2,1,2,3,2,4,2,2,2,1965,4,3
"284",0,5,5,3,1,1,1,1,5,1,1,5,2,2,1,1962,4,3
"285",1,3,2,2,2,2,5,1,5,5,1,2,1,7,2,1981,2,1
"287",1,1,2,2,2,3,4,1,4,4,4,2,1,10,1,1956,2,5
"288",1,5,2,1,2,2,2,2,5,5,1,2,1,8,1,1953,3,5
"289",1,3,2,1,1,2,2,1,4,4,2,2,1,7,1,1964,2,5
"290",1,3,2,2,2,2,4,1,5,5,2,2,1,7,2,1955,2,1
"291",0,5,5,1,1,3,3,1,2,2,2,5,2,0,1,1953,2,1
"294",0,5,5,1,1,5,1,1,1,1,1,5,2,2,2,1970,2,6
"295",1,5,1,3,3,5,3,3,5,3,5,1,1,8,1,1951,2,6
"296",1,1,4,5,3,5,5,3,3,5,5,4,1,10,2,1980,4,1
"298",1,1,2,3,1,1,1,1,5,1,1,2,1,8,2,1974,4,6
"303",1,5,4,1,1,1,2,1,2,3,2,5,1,5,2,1963,2,6
"305",1,3,2,1,1,2,1,1,2,1,1,4,1,8,2,1982,2,6
"306",0,5,5,1,1,1,1,1,2,1,1,5,2,0,2,1965,4,3
"307",0,5,5,1,1,3,3,1,4,4,3,5,2,0,1,1958,2,6
"310",1,3,2,3,1,1,1,1,5,1,1,2,1,10,2,1965,2,3
"311",1,5,4,1,1,1,1,1,3,3,3,2,1,10,2,1972,2,6
"317",0,5,5,1,1,2,2,1,3,4,4,5,2,0,1,1961,2,5
"318",0,3,4,1,1,3,1,1,4,2,2,5,5,5,1,1980,4,6
"321",0,5,5,1,1,1,2,1,1,3,1,5,2,1,2,1951,2,6
"323",0,5,5,1,1,1,4,1,4,3,1,5,3,7,1,1982,4,5
"327",0,5,5,1,1,1,1,1,5,1,1,5,2,2,2,1965,3,6
"328",0,5,5,1,1,2,2,1,3,1,1,5,2,1,2,1982,4,3
"330",0,5,5,1,1,1,3,1,1,3,3,5,3,0,1,1964,3,6
"333",1,1,2,2,1,1,1,1,1,1,1,2,1,7,1,1974,2,5
"335",1,3,4,1,1,1,1,1,3,1,1,2,1,8,2,1989,4,3
"336",1,1,2,3,2,1,2,1,1,2,1,1,1,8,1,1990,4,2
"337",0,3,4,1,1,1,3,1,3,3,1,4,2,2,2,1969,2,4
"338",0,5,5,1,1,1,3,1,4,3,1,5,3,3,1,1954,2,5
"339",0,5,4,1,1,1,1,1,3,1,1,5,3,0,2,1956,2,5
"341",0,3,2,4,4,4,1,2,5,1,3,2,1,10,2,1993,4,6
"342",1,3,2,1,1,1,4,3,4,2,1,4,1,6,2,1991,4,5
"344",0,3,2,5,4,3,1,1,4,1,3,4,3,4,2,1959,4,6
"345",1,3,2,5,5,4,1,1,3,1,1,2,1,10,2,1973,2,6
"346",0,3,2,4,4,4,1,1,4,1,4,2,1,10,1,1950,7,6
"347",0,3,2,5,5,4,1,1,3,1,1,2,1,10,1,1986,7,6
"348",1,3,4,1,1,1,3,1,3,3,3,2,1,8,2,1970,2,6
"349",0,3,4,3,2,2,2,3,2,2,3,4,3,1,1,1997,4,5
"350",0,3,2,2,2,2,2,1,4,1,1,4,3,0,1,1960,3,2
"351",0,3,4,1,1,1,2,1,2,3,3,5,3,0,2,1989,4,3
"352",1,3,2,2,2,3,3,2,3,3,3,2,1,10,2,1989,3,6
"354",0,5,4,1,1,1,3,1,2,2,1,5,2,0,2,1985,2,1
"355",0,1,4,1,1,2,3,1,3,2,1,5,2,1,2,1989,4,1
"356",1,1,2,1,1,1,1,1,1,1,1,1,1,10,1,1996,4,1
