"","inc","eco1","eco2","pe_h","pe_e","pe_u","pe_d","pe_o","pe_b","pe_p","pe_w","dem","close","like","gender","age","educ","religiosity"
"659",0,5,4,1,1,1,1,1,1,1,1,5,2,0,1,1986,7,2
"660",0,5,4,1,1,1,1,1,2,1,1,4,3,0,2,1978,4,1
"661",0,3,4,1,1,4,2,3,3,4,4,4,3,2,2,1992,4,3
"662",0,1,2,1,1,2,2,2,2,3,1,2,1,8,2,1997,4,5
"665",1,5,4,1,1,1,1,1,3,1,1,2,1,8,2,1996,4,6
"668",1,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1996,4,6
"669",0,5,5,1,1,1,1,1,3,3,2,5,2,0,1,1960,3,6
"670",1,5,2,1,1,1,1,1,1,1,1,2,1,6,2,1981,2,6
"671",0,5,2,1,1,1,4,1,1,3,3,5,3,0,1,1956,7,6
"672",0,5,5,1,1,3,3,1,4,3,4,5,2,0,1,1953,2,6
"673",0,5,5,4,4,1,1,1,4,2,5,5,3,0,1,1982,4,6
"675",1,5,2,1,1,1,1,4,1,1,1,4,1,8,1,1969,7,6
"677",0,5,1,5,5,5,5,5,1,5,5,5,2,0,2,1958,7,6
"678",1,5,1,1,1,1,1,1,1,1,2,4,1,5,1,1975,2,6
"679",1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1983,2,6
"681",1,1,2,3,3,3,3,3,1,2,4,1,1,8,1,1955,2,5
"683",0,5,5,1,1,2,1,1,3,2,1,4,1,0,2,1983,2,6
"686",0,5,5,1,1,1,1,1,1,1,1,5,4,5,2,1972,2,6
"687",1,5,2,3,3,2,1,1,1,1,3,2,1,10,2,1989,4,6
"689",1,5,5,1,3,1,1,2,3,1,1,2,1,5,2,1991,3,1
"690",1,5,4,4,3,5,3,3,2,3,2,4,1,5,1,1982,2,2
"693",1,5,5,1,1,1,1,1,2,1,1,5,1,4,2,1989,4,6
"696",0,5,5,1,1,1,1,1,2,1,1,5,2,8,2,1948,3,6
"697",0,5,4,1,1,1,4,2,1,1,1,5,2,0,1,1952,7,1
"701",0,3,4,2,3,2,2,1,3,2,1,4,2,2,1,1964,2,6
"703",1,5,4,2,3,2,2,1,3,3,3,2,1,10,2,1981,2,6
"704",0,5,5,1,1,4,4,1,4,4,1,5,2,0,1,1957,2,3
"706",0,1,2,1,1,1,3,1,3,3,1,2,1,4,2,1983,4,6
"707",1,3,4,1,1,1,5,1,3,3,2,2,1,4,1,1960,3,6
"708",1,5,4,1,1,1,3,1,3,3,1,2,1,10,1,1961,2,6
"709",0,5,4,1,1,2,3,1,3,3,3,5,2,0,1,1945,2,6
"710",1,3,4,1,1,1,1,1,1,1,1,2,1,10,1,1955,4,6
"711",0,5,4,1,2,2,2,1,3,3,3,4,4,0,1,1985,3,1
"714",0,5,2,1,3,1,1,1,3,1,1,5,1,10,2,1997,4,3
"715",1,3,4,1,1,1,3,1,3,3,1,2,1,10,2,1992,4,3
"716",1,3,2,1,2,2,2,1,4,1,1,1,3,0,1,1985,7,6
"717",1,3,2,1,1,2,4,1,5,4,1,2,1,10,2,1990,4,6
"718",0,5,4,1,1,1,3,1,3,3,1,5,2,0,1,1965,4,3
"719",0,5,4,2,1,1,3,1,3,2,1,5,2,0,1,1950,2,5
"720",0,5,4,1,1,1,1,1,1,1,1,4,2,1,2,1972,4,1
"721",0,5,2,1,1,2,1,1,2,2,2,4,3,5,1,1964,2,6
"722",1,5,4,1,1,1,1,1,1,1,1,4,1,8,2,1981,4,3
"723",0,5,2,2,2,1,1,2,2,2,2,4,3,6,1,1955,2,6
"724",1,3,2,2,2,2,2,2,2,2,2,2,1,8,1,1954,2,6
"725",0,5,4,1,2,1,2,1,1,2,1,5,2,2,2,1947,2,1
"726",1,1,1,2,2,1,4,1,2,5,1,2,1,8,1,1973,2,6
"727",0,5,4,2,2,2,2,1,2,2,1,4,2,1,2,1981,2,3
"729",0,5,2,1,2,1,4,1,4,3,1,4,3,0,1,1990,4,5
"731",0,3,2,1,1,1,2,1,2,2,1,5,3,0,2,1985,4,3
"732",1,3,2,2,2,1,2,2,2,1,2,2,1,8,1,1995,4,5
"736",1,3,2,4,3,5,4,4,5,4,4,2,1,8,2,1980,3,5
"737",1,1,1,3,2,2,2,1,1,1,1,1,1,10,1,1964,2,5
"738",1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1962,2,6
"739",1,1,2,3,3,3,3,3,3,3,3,1,1,10,1,1950,2,6
"740",1,3,2,3,2,3,3,1,3,3,3,1,1,10,1,1978,2,6
"741",1,1,2,3,3,3,3,1,3,3,3,2,1,10,1,1951,2,5
"745",0,3,4,1,1,1,1,1,1,1,1,4,3,0,1,1994,3,5
"746",1,1,2,1,1,2,1,1,1,1,1,4,1,9,1,1992,4,5
"747",1,1,4,3,1,3,1,1,3,3,1,4,1,10,1,1955,3,6
"748",0,5,5,1,1,1,1,1,1,1,1,5,3,3,2,1990,7,5
"750",1,5,2,1,1,1,1,1,3,1,1,2,1,10,2,1978,2,6
"753",1,3,5,1,1,1,1,1,1,1,1,4,1,10,2,1993,4,6
"757",0,5,5,2,1,2,2,1,2,1,2,5,2,5,2,1988,7,6
"758",1,3,4,3,3,3,3,1,4,4,3,1,1,10,2,1971,4,3
"759",0,5,5,1,1,1,1,1,1,2,1,4,2,0,1,1997,4,6
"760",1,5,5,3,2,2,3,1,3,3,3,4,1,10,2,1968,2,6
"762",0,5,4,2,1,2,3,1,3,4,1,5,2,1,2,1974,2,3
"763",0,5,4,1,2,2,4,1,4,3,2,5,2,2,2,1992,4,1
"764",0,5,4,1,1,2,3,1,2,3,2,5,2,0,1,1962,2,2
"766",1,3,2,1,1,1,1,1,1,1,1,1,1,10,1,1942,2,6
"769",1,1,2,1,3,2,2,1,2,2,2,2,1,8,1,1956,2,6
"771",1,1,5,1,1,1,1,1,4,1,1,4,1,10,2,1981,2,6
"774",1,3,2,2,2,2,3,2,3,2,2,1,1,9,2,1993,3,5
"775",0,1,1,2,2,4,2,4,4,2,2,1,1,10,1,1997,4,6
"777",0,3,2,2,2,2,3,2,3,3,3,2,1,10,1,1997,3,5
"778",0,5,2,1,1,1,1,1,2,1,1,5,2,0,2,1981,8,2
"779",0,5,2,1,1,1,1,1,1,1,1,4,2,3,1,1982,3,1
"780",1,5,2,1,1,2,1,1,2,1,1,2,1,9,2,1982,3,6
"781",1,1,1,2,4,2,1,1,2,1,1,5,1,10,1,1958,2,6
"782",1,5,1,1,1,1,3,1,1,1,1,5,1,8,1,1952,4,5
"783",1,3,2,1,1,1,1,1,4,4,1,1,1,10,2,1994,4,3
"784",1,3,5,1,1,1,1,1,4,3,1,2,1,7,2,1983,2,6
"787",0,5,4,1,2,2,3,1,3,3,1,4,3,6,2,1956,2,4
"788",0,5,4,1,1,1,1,1,1,1,1,4,3,2,1,1972,4,2
"789",1,3,2,1,1,1,1,1,1,1,1,2,1,7,1,1980,4,2
"790",1,3,2,1,1,1,4,1,1,1,1,2,1,10,2,1988,4,3
"792",0,3,1,2,2,2,3,2,4,2,2,5,2,0,2,1992,4,5
"793",1,3,2,1,1,1,3,1,5,3,1,2,1,0,2,1987,7,3
"794",0,3,4,2,2,1,2,1,2,2,2,2,2,4,2,1997,4,5
"796",0,3,5,1,2,2,1,2,2,2,3,4,5,5,1,1985,3,3
"797",0,5,5,1,1,1,5,1,5,5,1,5,2,3,2,1993,4,1
"798",0,5,5,1,1,1,3,1,3,3,1,5,2,2,2,1968,3,3
"799",0,3,2,2,2,2,2,1,3,3,3,2,1,10,1,1994,4,5
"801",0,5,5,2,1,2,2,2,2,1,2,5,3,3,1,1990,4,5
"802",1,3,2,5,5,5,3,1,5,5,3,2,1,10,1,1994,3,5
"803",1,3,2,1,1,1,2,1,2,2,1,1,1,10,1,1971,4,6
"804",1,3,4,2,2,2,1,1,2,1,2,5,1,10,1,1994,4,5
"805",0,5,4,2,2,2,2,2,2,2,2,5,1,7,1,1986,4,5
"809",0,5,4,2,1,2,2,2,2,2,2,4,3,0,1,1950,2,6
"810",0,5,4,2,1,1,1,1,3,3,4,2,1,10,1,1954,2,6
"811",1,3,2,1,1,3,1,1,3,3,1,2,1,10,1,1947,2,6
"812",1,5,4,1,2,1,2,1,1,1,2,5,3,0,2,1983,4,3
"816",0,1,1,3,1,3,2,3,3,3,3,2,3,9,1,1996,4,5
"818",1,3,2,3,1,1,3,2,3,3,2,1,1,10,1,1968,4,6
"819",1,1,1,1,1,1,1,1,1,1,2,1,1,8,1,1949,2,6
"820",1,1,2,2,3,2,2,3,3,2,3,2,1,10,2,1979,3,6
"822",1,1,1,2,2,2,2,2,2,2,2,1,1,10,1,1984,2,6
"823",0,5,5,3,1,1,1,1,1,1,1,5,3,3,1,1961,7,5
"824",0,3,1,3,3,3,3,1,3,3,3,2,1,10,2,1950,2,5
"825",1,3,2,3,1,2,3,2,3,3,2,2,1,10,2,1974,4,6
"827",1,1,2,5,5,3,3,3,3,2,3,2,1,10,1,1995,4,3
"828",1,3,4,1,1,1,1,1,1,1,1,2,1,10,2,1980,2,6
"832",0,5,5,5,1,1,5,1,5,1,1,5,2,8,2,1979,4,5
"834",0,3,2,1,1,2,2,1,2,1,1,2,5,5,2,1942,2,6
"837",0,5,4,1,1,3,2,2,3,4,3,5,2,1,2,1964,2,1
"838",0,5,4,1,1,1,3,3,3,4,4,5,1,2,2,1994,4,1
"839",0,5,2,1,1,1,1,1,1,1,1,5,4,0,1,1995,4,6
"841",0,5,4,1,1,1,1,1,1,1,1,5,4,5,1,1997,4,5
"842",0,1,2,2,2,1,2,1,1,1,1,2,2,1,2,1988,3,5
"843",1,1,2,1,1,1,1,1,1,1,1,2,1,9,1,1980,8,5
"846",1,5,4,2,1,4,2,3,2,2,2,2,1,10,2,1975,2,6
"850",1,5,2,1,1,1,1,1,1,1,1,4,1,10,1,1943,2,6
"854",1,1,2,2,2,2,2,2,3,2,2,2,1,10,1,1983,2,6
"856",1,3,5,2,1,3,3,3,3,3,3,4,1,5,1,1970,2,3
"857",0,5,5,1,1,3,2,1,3,3,2,5,2,0,2,1952,2,6
"862",1,5,2,3,2,3,3,1,3,2,3,4,1,5,1,1989,4,5
"863",1,3,4,2,1,3,3,1,3,3,2,4,1,5,1,1978,2,5
"864",1,3,2,3,2,3,3,1,3,3,2,2,1,9,1,1968,7,6
"865",0,5,2,2,1,3,3,1,3,3,3,5,3,3,2,1959,2,6
"869",1,1,2,3,3,2,3,1,3,3,2,1,1,8,1,1989,4,3
"878",0,5,4,2,1,1,2,1,3,2,3,5,2,0,2,1976,2,3
"881",1,5,4,4,4,4,4,4,3,4,4,2,1,8,1,1982,2,6
"884",1,3,2,4,3,4,4,4,3,4,4,2,1,10,2,1995,4,6
"885",1,3,2,4,3,2,4,4,4,4,4,2,1,10,1,1961,4,6
"886",1,5,4,4,3,2,4,4,3,4,4,2,1,10,2,1967,3,6
"887",0,5,5,4,3,4,4,2,4,4,4,5,2,2,2,1985,7,6
"888",1,3,2,1,1,2,2,1,2,2,2,1,1,8,2,1983,2,6
"889",1,3,2,2,2,3,2,3,3,2,3,2,1,9,1,1984,7,6
"890",0,5,5,1,1,1,1,1,2,1,1,5,2,0,1,1980,2,6
"893",1,1,2,3,3,2,3,3,3,3,3,1,1,10,1,1985,4,3
"894",0,5,5,1,1,3,3,1,3,1,1,5,2,0,1,1975,3,1
"897",0,5,4,1,1,1,1,1,1,1,1,5,2,0,1,1981,2,6
"898",0,5,5,2,2,2,3,1,2,4,3,5,2,0,1,1949,2,6
"899",0,5,4,1,1,1,1,1,1,1,1,5,2,0,1,1950,2,6
"900",0,5,2,1,1,1,1,1,3,1,4,5,2,0,1,1957,4,6
"901",0,3,4,2,1,1,2,2,4,2,2,4,3,10,2,1986,2,5
"902",1,3,4,1,1,1,2,1,2,3,1,4,1,8,2,1984,3,6
"903",0,3,5,2,1,1,2,2,4,2,2,5,3,2,2,1985,3,6
"904",1,5,1,4,3,4,1,2,3,2,2,1,1,10,1,1986,2,5
"905",1,1,4,3,3,3,1,2,3,3,2,1,1,10,1,1981,2,5
"906",0,5,2,1,1,1,2,2,4,1,1,4,3,5,1,1978,4,5
"907",1,5,2,1,1,4,1,1,1,1,1,2,1,10,1,1985,3,5
"908",0,5,4,1,1,1,1,1,1,1,1,5,2,0,1,1971,2,2
"909",0,5,2,4,4,2,1,2,2,2,2,5,2,0,1,1988,3,5
"913",0,3,2,1,1,1,1,1,1,1,1,2,4,0,2,1997,4,1
"914",0,3,4,2,1,2,2,2,5,5,5,4,3,0,1,1987,4,5
"915",1,3,2,1,2,1,2,1,2,3,2,4,1,10,1,1987,4,5
"916",0,5,2,2,3,2,2,1,4,3,2,4,2,0,1,1985,2,5
"917",1,1,1,1,1,1,1,2,3,2,1,2,1,10,2,1996,4,3
"918",0,3,2,2,2,2,2,2,3,3,1,4,3,5,2,1982,3,6
"919",1,3,2,1,1,1,1,1,3,1,3,2,1,10,1,1981,3,5
"920",0,3,2,1,3,1,1,2,4,3,3,4,3,0,1,1988,4,5
"921",0,5,2,5,5,4,5,4,5,5,5,5,3,0,1,1972,4,5
"922",0,5,5,2,2,2,1,2,3,3,5,5,2,0,1,1992,4,2
"923",0,3,4,4,5,4,4,5,4,4,4,5,2,0,2,1986,7,1
"924",0,5,4,5,4,5,4,4,5,4,4,4,2,0,2,1967,4,1
"925",0,3,4,1,1,1,2,1,3,3,4,5,2,1,2,1974,4,5
"926",0,3,4,1,2,1,1,1,4,4,4,5,2,0,1,1952,8,1
"927",0,5,4,4,5,4,5,4,5,4,4,4,2,0,2,1974,7,1
"928",1,3,2,2,2,2,3,2,2,2,2,2,1,9,1,1971,2,5
"930",0,5,5,3,1,1,1,1,1,1,1,5,2,0,1,1992,7,5
"931",0,5,5,1,2,3,3,1,2,3,3,5,2,0,2,1975,3,6
"935",1,3,1,3,2,3,2,1,2,3,3,2,1,8,1,1992,4,6
"937",1,3,2,1,1,1,1,1,1,1,1,2,1,9,2,1979,2,6
"939",0,5,5,1,1,1,1,1,1,1,1,5,2,0,2,1986,3,6
"940",0,5,2,2,2,2,3,1,3,3,3,4,2,0,2,1974,2,1
"943",0,5,4,1,1,3,4,1,3,3,4,5,2,1,1,1968,7,5
"945",0,5,5,1,1,3,3,1,3,1,1,4,1,10,2,1969,3,6
"948",0,5,5,1,1,3,1,1,2,2,2,5,2,0,2,1985,4,6
"950",0,5,5,1,1,3,1,1,3,3,3,5,2,0,1,1970,2,1
"951",0,3,4,5,4,5,4,4,4,5,4,5,3,0,2,1995,4,2
"952",0,3,4,1,1,2,2,1,3,4,4,5,2,0,1,1944,2,5
"953",0,5,4,5,4,5,5,4,5,5,4,5,2,1,1,1950,4,6
"954",0,5,2,2,1,2,1,1,2,3,2,5,2,0,1,1956,7,5
"955",1,3,4,2,1,2,1,1,4,3,4,2,1,10,2,1991,7,5
"956",0,3,4,2,2,1,2,2,3,3,4,5,3,0,2,1994,7,2
"957",0,3,4,1,1,2,2,1,4,4,2,5,2,4,2,1965,9,1
"958",1,5,4,4,5,5,4,5,4,5,4,2,1,10,2,1985,2,6
"959",1,3,4,4,3,4,4,4,3,4,4,4,1,10,2,1983,3,6
"962",0,5,4,1,2,1,2,2,3,3,5,5,3,0,1,1983,4,5
"963",1,3,4,4,4,5,4,5,4,4,4,4,1,7,2,1972,2,6
"965",0,5,4,2,1,3,3,1,2,3,3,4,2,0,1,1990,3,6
"971",0,5,5,1,1,1,1,1,3,1,1,5,3,1,1,1990,4,5
"973",0,5,1,3,3,3,3,1,3,3,3,2,1,6,2,1993,4,6
"976",0,5,1,1,1,3,3,1,4,3,3,5,2,0,1,1970,2,5
"977",0,5,5,1,1,2,3,1,3,3,3,5,2,0,2,1963,2,6
"979",0,3,4,2,2,2,3,1,2,2,1,4,3,1,2,1982,4,3
"980",0,3,1,2,1,2,2,2,1,1,1,2,3,2,1,1975,4,5
"982",1,3,2,1,2,2,2,1,5,1,1,2,1,10,2,1984,7,3
"983",1,3,4,1,2,1,2,1,3,3,3,2,1,7,2,1967,3,2
"985",0,5,4,2,1,1,2,1,2,2,1,5,2,0,2,1991,7,1
"986",0,5,4,1,1,1,3,1,3,3,1,5,2,0,1,1955,2,2
"988",1,1,1,1,1,1,1,1,1,1,1,2,1,10,2,1985,2,1
"991",0,5,2,1,1,1,1,1,1,1,1,4,3,3,1,1960,3,5
"993",1,5,1,3,2,3,2,2,3,2,3,1,1,8,1,1979,7,1
"995",1,1,2,1,1,1,1,1,1,1,1,2,1,10,2,1960,2,6
"996",1,3,2,2,1,1,2,2,3,1,1,2,1,8,2,1990,7,6
"998",1,5,2,3,3,4,3,2,3,3,4,4,1,8,2,1988,3,5
"999",0,3,2,1,1,1,1,2,2,1,1,2,2,7,1,1974,3,2
"1000",1,1,1,1,1,1,1,1,1,1,1,5,1,10,2,1986,2,6
"1002",0,5,2,1,1,1,1,1,1,1,1,4,2,2,1,1975,4,2
"1003",0,5,4,2,2,1,2,1,2,2,1,5,3,0,1,1991,4,5
"1004",1,3,2,3,2,2,3,2,3,3,2,2,1,7,1,1967,3,5
"1006",0,3,4,1,3,3,1,1,3,3,1,4,2,0,1,1978,4,3
"1007",0,3,4,2,2,2,3,2,5,2,2,5,2,0,1,1982,7,3
"1008",1,3,4,1,2,2,2,1,3,2,2,1,1,10,2,1968,3,6
"1010",0,3,4,1,1,2,1,1,4,1,1,2,3,0,1,1978,7,5
"1011",0,3,2,2,2,2,2,2,2,2,2,5,2,0,1,1975,4,3
"1012",0,3,4,2,1,1,3,2,2,2,2,4,2,0,2,1968,2,6
"1014",0,3,2,1,1,1,3,1,4,3,3,2,2,0,1,1979,7,5
"1015",0,3,2,1,1,3,3,1,4,3,1,4,2,2,2,1970,2,6
"1016",1,5,2,1,1,1,1,1,1,1,1,4,1,10,1,1969,2,5
"1017",0,5,2,1,1,1,1,1,1,1,1,5,2,1,1,1980,4,2
"1018",0,5,2,1,1,1,1,1,1,1,1,5,2,0,1,1959,4,2
"1019",0,5,2,1,1,1,1,1,1,1,1,5,2,0,1,1955,7,1
"1020",0,5,4,1,1,1,1,1,1,1,1,5,3,2,1,1993,7,5
"1021",0,3,2,1,1,1,1,1,1,1,1,5,2,2,1,1956,2,2
"1026",0,3,2,2,1,1,2,1,3,2,2,4,3,0,2,1989,7,3
"1027",0,3,2,2,1,1,2,2,2,2,2,4,3,1,1,1989,4,5
"1028",0,3,2,3,1,1,1,1,5,3,3,4,2,0,2,1972,4,3
"1029",0,3,2,1,1,1,1,1,4,3,3,2,1,10,1,1987,7,5
"1030",0,3,2,2,2,1,1,1,5,2,2,2,2,0,1,1969,4,5
"1031",1,3,4,1,1,1,1,1,1,1,1,2,1,5,2,1974,4,2
"1032",1,1,4,1,1,1,1,1,1,1,1,2,1,8,1,1950,2,5
"1033",0,5,2,2,2,2,2,2,2,2,2,5,2,1,1,1976,2,2
"1034",1,5,2,1,1,1,1,1,1,1,1,4,1,10,1,1982,2,5
"1036",0,5,2,1,1,1,1,1,1,1,1,5,2,5,2,1977,3,6
"1040",0,5,4,2,3,1,4,2,2,4,2,5,3,0,2,1962,2,6
"1043",0,5,4,2,2,2,2,2,4,3,2,5,2,2,1,1992,4,5
"1044",1,5,4,2,1,3,3,2,4,4,3,2,1,5,2,1970,3,6
"1045",1,5,2,3,2,2,2,1,4,2,2,2,1,9,1,1964,2,6
"1046",1,3,2,2,1,3,3,1,3,3,2,2,1,8,1,1971,3,5
"1047",1,3,2,5,5,1,3,1,2,2,1,4,1,6,2,1983,2,2
"1049",0,3,2,1,1,1,1,1,1,1,4,4,2,2,1,1973,2,2
"1051",0,5,2,1,1,1,1,1,1,1,1,5,4,0,1,1984,2,6
"1056",0,5,5,1,1,1,1,1,1,1,1,5,4,0,1,1976,2,6
"1058",0,5,2,1,1,1,1,1,1,1,1,5,4,0,2,1982,4,6
"1059",0,5,2,5,5,5,5,5,5,5,5,4,4,0,2,1996,7,2
"1060",0,5,2,2,2,2,2,2,2,2,2,4,1,10,2,1995,2,6
"1061",0,5,5,1,1,1,1,1,1,1,1,5,4,0,1,1974,2,4
"1062",0,5,5,1,1,1,4,1,1,1,1,5,4,0,1,1972,2,6
"1064",0,5,2,5,5,5,2,5,5,2,5,4,4,0,1,1980,2,6
"1065",1,5,2,1,1,1,1,1,1,1,1,2,1,10,1,1977,3,6
"1068",1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1982,4,5
"1069",1,5,2,1,1,5,1,1,1,1,1,1,1,10,2,1981,3,6
"1071",1,5,4,1,1,4,2,2,4,2,1,2,1,0,2,1987,2,6
"1072",1,3,2,1,1,1,1,1,1,1,1,2,1,10,2,1994,4,4
"1073",1,3,2,1,1,1,1,1,1,1,1,2,1,6,2,1964,2,6
"1074",1,1,2,1,1,1,1,1,1,1,1,2,1,10,2,1980,4,3
"1078",0,5,1,1,1,1,1,2,1,1,1,4,1,9,1,1960,3,6
"1079",1,5,5,1,2,1,1,1,1,1,1,5,1,10,1,1969,3,6
"1080",1,5,1,1,1,1,2,1,3,1,1,2,1,9,1,1971,2,6
"1082",1,1,5,1,1,1,1,3,3,1,1,2,1,10,2,1987,2,6
"1085",0,5,1,1,1,3,1,1,1,1,3,5,3,1,2,1996,4,4
"1086",0,1,1,1,1,1,1,1,1,1,1,2,1,10,2,1996,4,1
